@relation 'stratified_data_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M6-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rfirst-last-precision6'

@attribute '0.43 -0.56px_height+0.532px_width-0.411sc_h+0.402sc_w+0.177four_g=No...-0.3860.632wifi=Yes-0.369m_dep+0.366blue=No-0.354mobile_wt-0.296touch_screen=No...+0.3  -0.552sc_w+0.543sc_h+0.433px_width-0.399px_height+0.119pc...-0.277-0.509three_g=No-0.509four_g=No-0.349px_width-0.345px_height-0.275fc...-0.255-0.563ram+0.4  touch_screen=No-0.391blue=No-0.32m_dep-0.314dual_sim=No......' {'\'(-inf--2.092996]\'','\'(-2.092996--1.042702]\'','\'(-1.042702-0.007592]\'','\'(0.007592-1.057886]\'','\'(1.057886-2.10818]\'','\'(2.10818-inf)\''}
@attribute '-0.403-0.56px_height+0.532px_width-0.411sc_h+0.402sc_w+0.177four_g=No...+0.371-0.552sc_w+0.543sc_h+0.433px_width-0.399px_height+0.119pc...-0.3540.591talk_time+0.578battery_power-0.302blue=No-0.24mobile_wt+0.226int_memory...+0.3  -0.58touch_screen=No+0.397mobile_wt-0.384blue=No-0.335clock_speed-0.272m_dep...-0.2970.563dual_sim=No+0.375touch_screen=No-0.362clock_speed+0.348mobile_wt-0.291m_dep......' {'\'(-inf--2.040262]\'','\'(-2.040262--0.979895]\'','\'(-0.979895-0.080473]\'','\'(0.080473-1.140841]\'','\'(1.140841-2.201208]\'','\'(2.201208-inf)\''}
@attribute '0.4860.707n_cores-0.475m_dep+0.233talk_time+0.221ram-0.189mobile_wt...-0.442-0.563ram+0.4  touch_screen=No-0.391blue=No-0.32m_dep-0.314dual_sim=No...-0.3370.64 clock_speed-0.363battery_power-0.339m_dep+0.283mobile_wt-0.275wifi=Yes...+0.316-0.552sc_w+0.543sc_h+0.433px_width-0.399px_height+0.119pc...-0.2980.459clock_speed+0.439mobile_wt+0.414wifi=Yes+0.362n_cores+0.314battery_power......' {'\'(-inf--2.423115]\'','\'(-2.423115--1.05263]\'','\'(-1.05263-0.317854]\'','\'(0.317854-1.688339]\'','\'(1.688339-3.058824]\'','\'(3.058824-inf)\''}
@attribute 0.5160.486ram-0.484talk_time-0.396int_memory-0.286mobile_wt+0.275dual_sim=No...+0.373-0.509three_g=No-0.509four_g=No-0.349px_width-0.345px_height-0.275fc...-0.3290.583pc+0.574fc-0.318sc_h-0.309sc_w-0.21px_height...+0.3110.529int_memory+0.417dual_sim=No-0.393blue=No-0.324talk_time+0.319m_dep...-0.3070.459clock_speed+0.439mobile_wt+0.414wifi=Yes+0.362n_cores+0.314battery_power...... {'\'(-inf--2.000312]\'','\'(-2.000312--1.018238]\'','\'(-1.018238--0.036164]\'','\'(-0.036164-0.945909]\'','\'(0.945909-1.927983]\'','\'(1.927983-inf)\''}
@attribute 0.603-0.435sc_w+0.422three_g=No+0.418four_g=No-0.4sc_h-0.254fc...-0.390.457wifi=Yes-0.456int_memory-0.425battery_power-0.381blue=No+0.359talk_time...+0.3860.522px_height+0.511px_width-0.432sc_h-0.395sc_w-0.196four_g=No...+0.2770.563dual_sim=No+0.375touch_screen=No-0.362clock_speed+0.348mobile_wt-0.291m_dep...+0.251-0.552sc_w+0.543sc_h+0.433px_width-0.399px_height+0.119pc...... {'\'(-inf--2.634239]\'','\'(-2.634239--1.562189]\'','\'(-1.562189--0.490139]\'','\'(-0.490139-0.58191]\'','\'(0.58191-1.65396]\'','\'(1.65396-inf)\''}
@attribute -0.3810.583pc+0.574fc-0.318sc_h-0.309sc_w-0.21px_height...-0.351-0.58touch_screen=No+0.397mobile_wt-0.384blue=No-0.335clock_speed-0.272m_dep...-0.3380.529int_memory+0.417dual_sim=No-0.393blue=No-0.324talk_time+0.319m_dep...-0.3250.486ram-0.484talk_time-0.396int_memory-0.286mobile_wt+0.275dual_sim=No...-0.3250.522px_height+0.511px_width-0.432sc_h-0.395sc_w-0.196four_g=No...... {'\'(-inf--2.778826]\'','\'(-2.778826--1.655672]\'','\'(-1.655672--0.532519]\'','\'(-0.532519-0.590634]\'','\'(0.590634-1.713788]\'','\'(1.713788-inf)\''}
@attribute price_category {Yes,No}

@data
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(-1.655672--0.532519]\'',Yes
'\'(-1.042702-0.007592]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-2.634239--1.562189]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-2.000312--1.018238]\'','\'(-2.634239--1.562189]\'','\'(-1.655672--0.532519]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-2.000312--1.018238]\'','\'(-2.634239--1.562189]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(0.945909-1.927983]\'','\'(-1.562189--0.490139]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(1.057886-2.10818]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(-2.778826--1.655672]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-2.634239--1.562189]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-inf--2.000312]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(1.057886-2.10818]\'','\'(-2.040262--0.979895]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-2.634239--1.562189]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(2.10818-inf)\'','\'(-0.979895-0.080473]\'','\'(-2.423115--1.05263]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(-2.423115--1.05263]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-2.092996--1.042702]\'','\'(-0.979895-0.080473]\'','\'(1.688339-3.058824]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-2.040262--0.979895]\'','\'(-2.423115--1.05263]\'','\'(0.945909-1.927983]\'','\'(-1.562189--0.490139]\'','\'(-2.778826--1.655672]\'',Yes
'\'(-1.042702-0.007592]\'','\'(2.201208-inf)\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(1.140841-2.201208]\'','\'(1.688339-3.058824]\'','\'(-2.000312--1.018238]\'','\'(-0.490139-0.58191]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(-2.092996--1.042702]\'','\'(-2.040262--0.979895]\'','\'(0.317854-1.688339]\'','\'(-2.000312--1.018238]\'','\'(-0.490139-0.58191]\'','\'(-2.778826--1.655672]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-2.423115--1.05263]\'','\'(-2.000312--1.018238]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(1.057886-2.10818]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(0.945909-1.927983]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(-1.042702-0.007592]\'','\'(-2.040262--0.979895]\'','\'(0.317854-1.688339]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(0.590634-1.713788]\'',Yes
'\'(2.10818-inf)\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(1.057886-2.10818]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(0.590634-1.713788]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(0.945909-1.927983]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(0.590634-1.713788]\'',Yes
'\'(2.10818-inf)\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(1.713788-inf)\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-2.634239--1.562189]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(1.688339-3.058824]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-2.423115--1.05263]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-2.634239--1.562189]\'','\'(0.590634-1.713788]\'',Yes
'\'(1.057886-2.10818]\'','\'(-2.040262--0.979895]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(0.590634-1.713788]\'',Yes
'\'(2.10818-inf)\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-2.000312--1.018238]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-2.040262--0.979895]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(2.201208-inf)\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-2.634239--1.562189]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(1.688339-3.058824]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-2.634239--1.562189]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(-2.778826--1.655672]\'',Yes
'\'(0.007592-1.057886]\'','\'(2.201208-inf)\'','\'(-1.05263-0.317854]\'','\'(-2.000312--1.018238]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-2.000312--1.018238]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(2.201208-inf)\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-2.634239--1.562189]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(1.688339-3.058824]\'','\'(1.927983-inf)\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(1.057886-2.10818]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(-1.042702-0.007592]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(-1.042702-0.007592]\'','\'(-0.979895-0.080473]\'','\'(1.688339-3.058824]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(1.713788-inf)\'',Yes
'\'(2.10818-inf)\'','\'(-2.040262--0.979895]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(1.688339-3.058824]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(1.057886-2.10818]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-2.000312--1.018238]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(-2.778826--1.655672]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-2.634239--1.562189]\'','\'(0.590634-1.713788]\'',Yes
'\'(-2.092996--1.042702]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-2.000312--1.018238]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(-1.655672--0.532519]\'',Yes
'\'(1.057886-2.10818]\'','\'(-inf--2.040262]\'','\'(-1.05263-0.317854]\'','\'(-2.000312--1.018238]\'','\'(0.58191-1.65396]\'','\'(-2.778826--1.655672]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(-2.634239--1.562189]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-1.562189--0.490139]\'','\'(-inf--2.778826]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(1.65396-inf)\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(2.10818-inf)\'','\'(-2.040262--0.979895]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(1.65396-inf)\'','\'(1.713788-inf)\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(1.688339-3.058824]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-1.655672--0.532519]\'',Yes
'\'(-1.042702-0.007592]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-2.634239--1.562189]\'','\'(-1.655672--0.532519]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(-2.778826--1.655672]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-0.036164-0.945909]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(0.007592-1.057886]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-2.040262--0.979895]\'','\'(-1.05263-0.317854]\'','\'(1.927983-inf)\'','\'(-2.634239--1.562189]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(2.10818-inf)\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-2.000312--1.018238]\'','\'(1.65396-inf)\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(0.945909-1.927983]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(1.057886-2.10818]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(-0.490139-0.58191]\'','\'(0.590634-1.713788]\'',Yes
'\'(-1.042702-0.007592]\'','\'(2.201208-inf)\'','\'(-1.05263-0.317854]\'','\'(-2.000312--1.018238]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(-1.042702-0.007592]\'','\'(0.080473-1.140841]\'','\'(0.317854-1.688339]\'','\'(-2.000312--1.018238]\'','\'(-1.562189--0.490139]\'','\'(-1.655672--0.532519]\'',Yes
'\'(0.007592-1.057886]\'','\'(1.140841-2.201208]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(-1.655672--0.532519]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(1.688339-3.058824]\'','\'(-2.000312--1.018238]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
'\'(1.057886-2.10818]\'','\'(-0.979895-0.080473]\'','\'(0.317854-1.688339]\'','\'(-1.018238--0.036164]\'','\'(0.58191-1.65396]\'','\'(0.590634-1.713788]\'',Yes
'\'(-1.042702-0.007592]\'','\'(-2.040262--0.979895]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-0.490139-0.58191]\'','\'(-0.532519-0.590634]\'',Yes
'\'(0.007592-1.057886]\'','\'(-0.979895-0.080473]\'','\'(-1.05263-0.317854]\'','\'(-0.036164-0.945909]\'','\'(-1.562189--0.490139]\'','\'(-0.532519-0.590634]\'',Yes
