@relation 'stratified_data_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rfirst-last-precision6'

@attribute 0.583pc+0.574fc-0.318sc_h-0.309sc_w-0.21px_height... {'\'(-inf--1.99282]\'','\'(-1.99282--0.834366]\'','\'(-0.834366-0.324088]\'','\'(0.324088-1.482542]\'','\'(1.482542-2.640996]\'','\'(2.640996-inf)\''}
@attribute -0.509three_g=No-0.509four_g=No-0.349px_width-0.345px_height-0.275fc... {'\'(-inf--2.775917]\'','\'(-2.775917--1.661525]\'','\'(-1.661525--0.547132]\'','\'(-0.547132-0.56726]\'','\'(0.56726-1.681652]\'','\'(1.681652-inf)\''}
@attribute -0.435sc_w+0.422three_g=No+0.418four_g=No-0.4sc_h-0.254fc... {'\'(-inf--2.335812]\'','\'(-2.335812--1.159838]\'','\'(-1.159838-0.016136]\'','\'(0.016136-1.19211]\'','\'(1.19211-2.368084]\'','\'(2.368084-inf)\''}
@attribute 0.522px_height+0.511px_width-0.432sc_h-0.395sc_w-0.196four_g=No... {'\'(-inf--1.927885]\'','\'(-1.927885--0.84475]\'','\'(-0.84475-0.238385]\'','\'(0.238385-1.32152]\'','\'(1.32152-2.404655]\'','\'(2.404655-inf)\''}
@attribute '-0.502ram-0.441int_memory+0.41 dual_sim=No+0.282n_cores-0.281touch_screen=No...' {'\'(-inf--2.221833]\'','\'(-2.221833--1.089568]\'','\'(-1.089568-0.042697]\'','\'(0.042697-1.174961]\'','\'(1.174961-2.307226]\'','\'(2.307226-inf)\''}
@attribute 0.591talk_time+0.578battery_power-0.302blue=No-0.24mobile_wt+0.226int_memory... {'\'(-inf--2.029347]\'','\'(-2.029347--1.043601]\'','\'(-1.043601--0.057854]\'','\'(-0.057854-0.927893]\'','\'(0.927893-1.913639]\'','\'(1.913639-inf)\''}
@attribute 0.632wifi=Yes-0.369m_dep+0.366blue=No-0.354mobile_wt-0.296touch_screen=No... {'\'(-inf--1.983229]\'','\'(-1.983229--1.013658]\'','\'(-1.013658--0.044087]\'','\'(-0.044087-0.925484]\'','\'(0.925484-1.895055]\'','\'(1.895055-inf)\''}
@attribute 0.529int_memory+0.417dual_sim=No-0.393blue=No-0.324talk_time+0.319m_dep... {'\'(-inf--2.20118]\'','\'(-2.20118--1.178424]\'','\'(-1.178424--0.155669]\'','\'(-0.155669-0.867086]\'','\'(0.867086-1.889842]\'','\'(1.889842-inf)\''}
@attribute '0.64 clock_speed-0.363battery_power-0.339m_dep+0.283mobile_wt-0.275wifi=Yes...' {'\'(-inf--2.228006]\'','\'(-2.228006--1.220803]\'','\'(-1.220803--0.2136]\'','\'(-0.2136-0.793604]\'','\'(0.793604-1.800807]\'','\'(1.800807-inf)\''}
@attribute -0.58touch_screen=No+0.397mobile_wt-0.384blue=No-0.335clock_speed-0.272m_dep... {'\'(-inf--1.813607]\'','\'(-1.813607--0.884957]\'','\'(-0.884957-0.043694]\'','\'(0.043694-0.972345]\'','\'(0.972345-1.900995]\'','\'(1.900995-inf)\''}
@attribute 0.707n_cores-0.475m_dep+0.233talk_time+0.221ram-0.189mobile_wt... {'\'(-inf--2.047304]\'','\'(-2.047304--1.018923]\'','\'(-1.018923-0.009457]\'','\'(0.009457-1.037837]\'','\'(1.037837-2.066218]\'','\'(2.066218-inf)\''}
@attribute '-0.563ram+0.4  touch_screen=No-0.391blue=No-0.32m_dep-0.314dual_sim=No...' {'\'(-inf--1.937518]\'','\'(-1.937518--0.983749]\'','\'(-0.983749--0.02998]\'','\'(-0.02998-0.92379]\'','\'(0.92379-1.877559]\'','\'(1.877559-inf)\''}
@attribute 0.459clock_speed+0.439mobile_wt+0.414wifi=Yes+0.362n_cores+0.314battery_power... {'\'(-inf--1.83549]\'','\'(-1.83549--0.883036]\'','\'(-0.883036-0.069417]\'','\'(0.069417-1.021871]\'','\'(1.021871-1.974325]\'','\'(1.974325-inf)\''}
@attribute 0.563dual_sim=No+0.375touch_screen=No-0.362clock_speed+0.348mobile_wt-0.291m_dep... {'\'(-inf--1.796216]\'','\'(-1.796216--0.889607]\'','\'(-0.889607-0.017003]\'','\'(0.017003-0.923613]\'','\'(0.923613-1.830222]\'','\'(1.830222-inf)\''}
@attribute 0.486ram-0.484talk_time-0.396int_memory-0.286mobile_wt+0.275dual_sim=No... {'\'(-inf--2.116572]\'','\'(-2.116572--1.136272]\'','\'(-1.136272--0.155971]\'','\'(-0.155971-0.82433]\'','\'(0.82433-1.80463]\'','\'(1.80463-inf)\''}
@attribute 0.457wifi=Yes-0.456int_memory-0.425battery_power-0.381blue=No+0.359talk_time... {'\'(-inf--1.963973]\'','\'(-1.963973--1.013777]\'','\'(-1.013777--0.063581]\'','\'(-0.063581-0.886616]\'','\'(0.886616-1.836813]\'','\'(1.836813-inf)\''}
@attribute -0.56px_height+0.532px_width-0.411sc_h+0.402sc_w+0.177four_g=No... {'\'(-inf--1.310991]\'','\'(-1.310991--0.633562]\'','\'(-0.633562-0.043866]\'','\'(0.043866-0.721294]\'','\'(0.721294-1.398723]\'','\'(1.398723-inf)\''}
@attribute -0.552sc_w+0.543sc_h+0.433px_width-0.399px_height+0.119pc... {'\'(-inf--0.808804]\'','\'(-0.808804--0.183676]\'','\'(-0.183676-0.441453]\'','\'(0.441453-1.066581]\'','\'(1.066581-1.691709]\'','\'(1.691709-inf)\''}
@attribute price_category {Yes,No}

@data
'\'(-0.834366-0.324088]\'','\'(-1.661525--0.547132]\'','\'(-inf--2.335812]\'','\'(0.238385-1.32152]\'','\'(0.042697-1.174961]\'','\'(-0.057854-0.927893]\'','\'(-1.983229--1.013658]\'','\'(-1.178424--0.155669]\'','\'(-0.2136-0.793604]\'','\'(1.900995-inf)\'','\'(0.009457-1.037837]\'','\'(0.92379-1.877559]\'','\'(-0.883036-0.069417]\'','\'(0.923613-1.830222]\'','\'(-1.136272--0.155971]\'','\'(-1.963973--1.013777]\'','\'(0.721294-1.398723]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(0.56726-1.681652]\'','\'(2.368084-inf)\'','\'(-1.927885--0.84475]\'','\'(-1.089568-0.042697]\'','\'(-2.029347--1.043601]\'','\'(-1.013658--0.044087]\'','\'(-0.155669-0.867086]\'','\'(-0.2136-0.793604]\'','\'(0.972345-1.900995]\'','\'(-1.018923-0.009457]\'','\'(-0.983749--0.02998]\'','\'(-1.83549--0.883036]\'','\'(-0.889607-0.017003]\'','\'(-1.136272--0.155971]\'','\'(-1.013777--0.063581]\'','\'(-1.310991--0.633562]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(-0.547132-0.56726]\'','\'(1.19211-2.368084]\'','\'(-1.927885--0.84475]\'','\'(0.042697-1.174961]\'','\'(-0.057854-0.927893]\'','\'(-0.044087-0.925484]\'','\'(-1.178424--0.155669]\'','\'(-0.2136-0.793604]\'','\'(-inf--1.813607]\'','\'(1.037837-2.066218]\'','\'(-0.983749--0.02998]\'','\'(-0.883036-0.069417]\'','\'(0.017003-0.923613]\'','\'(-0.155971-0.82433]\'','\'(-0.063581-0.886616]\'','\'(-1.310991--0.633562]\'','\'(-0.808804--0.183676]\'',No
'\'(-0.834366-0.324088]\'','\'(-2.775917--1.661525]\'','\'(0.016136-1.19211]\'','\'(0.238385-1.32152]\'','\'(-1.089568-0.042697]\'','\'(-1.043601--0.057854]\'','\'(-0.044087-0.925484]\'','\'(-1.178424--0.155669]\'','\'(0.793604-1.800807]\'','\'(-1.813607--0.884957]\'','\'(-2.047304--1.018923]\'','\'(0.92379-1.877559]\'','\'(-0.883036-0.069417]\'','\'(-0.889607-0.017003]\'','\'(-1.136272--0.155971]\'','\'(1.836813-inf)\'','\'(-0.633562-0.043866]\'','\'(-0.183676-0.441453]\'',No
'\'(1.482542-2.640996]\'','\'(0.56726-1.681652]\'','\'(-1.159838-0.016136]\'','\'(-1.927885--0.84475]\'','\'(2.307226-inf)\'','\'(0.927893-1.913639]\'','\'(-1.013658--0.044087]\'','\'(-1.178424--0.155669]\'','\'(-0.2136-0.793604]\'','\'(-0.884957-0.043694]\'','\'(0.009457-1.037837]\'','\'(-1.937518--0.983749]\'','\'(1.021871-1.974325]\'','\'(-1.796216--0.889607]\'','\'(-0.155971-0.82433]\'','\'(-1.013777--0.063581]\'','\'(-1.310991--0.633562]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(-2.775917--1.661525]\'','\'(0.016136-1.19211]\'','\'(1.32152-2.404655]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(-1.013658--0.044087]\'','\'(0.867086-1.889842]\'','\'(-0.2136-0.793604]\'','\'(-inf--1.813607]\'','\'(-2.047304--1.018923]\'','\'(-0.983749--0.02998]\'','\'(-0.883036-0.069417]\'','\'(0.017003-0.923613]\'','\'(-0.155971-0.82433]\'','\'(-1.013777--0.063581]\'','\'(0.721294-1.398723]\'','\'(-0.183676-0.441453]\'',No
'\'(0.324088-1.482542]\'','\'(-0.547132-0.56726]\'','\'(-1.159838-0.016136]\'','\'(-1.927885--0.84475]\'','\'(-2.221833--1.089568]\'','\'(-2.029347--1.043601]\'','\'(-1.983229--1.013658]\'','\'(0.867086-1.889842]\'','\'(-1.220803--0.2136]\'','\'(0.043694-0.972345]\'','\'(1.037837-2.066218]\'','\'(-0.02998-0.92379]\'','\'(-0.883036-0.069417]\'','\'(-0.889607-0.017003]\'','\'(-1.136272--0.155971]\'','\'(-0.063581-0.886616]\'','\'(-1.310991--0.633562]\'','\'(-0.808804--0.183676]\'',No
'\'(1.482542-2.640996]\'','\'(-2.775917--1.661525]\'','\'(-2.335812--1.159838]\'','\'(1.32152-2.404655]\'','\'(0.042697-1.174961]\'','\'(-2.029347--1.043601]\'','\'(-1.983229--1.013658]\'','\'(-2.20118--1.178424]\'','\'(-1.220803--0.2136]\'','\'(-1.813607--0.884957]\'','\'(-2.047304--1.018923]\'','\'(-0.983749--0.02998]\'','\'(-inf--1.83549]\'','\'(-0.889607-0.017003]\'','\'(-0.155971-0.82433]\'','\'(-0.063581-0.886616]\'','\'(-1.310991--0.633562]\'','\'(0.441453-1.066581]\'',No
'\'(-0.834366-0.324088]\'','\'(0.56726-1.681652]\'','\'(0.016136-1.19211]\'','\'(-1.927885--0.84475]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(1.895055-inf)\'','\'(-0.155669-0.867086]\'','\'(-2.228006--1.220803]\'','\'(0.972345-1.900995]\'','\'(1.037837-2.066218]\'','\'(-0.983749--0.02998]\'','\'(-0.883036-0.069417]\'','\'(0.017003-0.923613]\'','\'(-0.155971-0.82433]\'','\'(-0.063581-0.886616]\'','\'(-1.310991--0.633562]\'','\'(0.441453-1.066581]\'',No
'\'(-1.99282--0.834366]\'','\'(-0.547132-0.56726]\'','\'(0.016136-1.19211]\'','\'(-1.927885--0.84475]\'','\'(0.042697-1.174961]\'','\'(0.927893-1.913639]\'','\'(-1.013658--0.044087]\'','\'(-0.155669-0.867086]\'','\'(-inf--2.228006]\'','\'(-0.884957-0.043694]\'','\'(-1.018923-0.009457]\'','\'(0.92379-1.877559]\'','\'(0.069417-1.021871]\'','\'(0.017003-0.923613]\'','\'(-2.116572--1.136272]\'','\'(0.886616-1.836813]\'','\'(0.721294-1.398723]\'','\'(-0.183676-0.441453]\'',No
'\'(-1.99282--0.834366]\'','\'(-1.661525--0.547132]\'','\'(-2.335812--1.159838]\'','\'(1.32152-2.404655]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(-1.983229--1.013658]\'','\'(-2.20118--1.178424]\'','\'(1.800807-inf)\'','\'(0.972345-1.900995]\'','\'(0.009457-1.037837]\'','\'(0.92379-1.877559]\'','\'(-1.83549--0.883036]\'','\'(-0.889607-0.017003]\'','\'(-1.136272--0.155971]\'','\'(0.886616-1.836813]\'','\'(-0.633562-0.043866]\'','\'(-0.808804--0.183676]\'',No
'\'(1.482542-2.640996]\'','\'(-0.547132-0.56726]\'','\'(-2.335812--1.159838]\'','\'(0.238385-1.32152]\'','\'(-1.089568-0.042697]\'','\'(-0.057854-0.927893]\'','\'(0.925484-1.895055]\'','\'(-0.155669-0.867086]\'','\'(-0.2136-0.793604]\'','\'(0.043694-0.972345]\'','\'(-2.047304--1.018923]\'','\'(-0.983749--0.02998]\'','\'(0.069417-1.021871]\'','\'(0.017003-0.923613]\'','\'(-0.155971-0.82433]\'','\'(-1.963973--1.013777]\'','\'(-0.633562-0.043866]\'','\'(0.441453-1.066581]\'',No
'\'(-0.834366-0.324088]\'','\'(-0.547132-0.56726]\'','\'(2.368084-inf)\'','\'(-0.84475-0.238385]\'','\'(0.042697-1.174961]\'','\'(0.927893-1.913639]\'','\'(-1.983229--1.013658]\'','\'(-2.20118--1.178424]\'','\'(0.793604-1.800807]\'','\'(0.043694-0.972345]\'','\'(-2.047304--1.018923]\'','\'(-1.937518--0.983749]\'','\'(0.069417-1.021871]\'','\'(-1.796216--0.889607]\'','\'(-0.155971-0.82433]\'','\'(-0.063581-0.886616]\'','\'(-0.633562-0.043866]\'','\'(0.441453-1.066581]\'',No
'\'(0.324088-1.482542]\'','\'(-2.775917--1.661525]\'','\'(1.19211-2.368084]\'','\'(1.32152-2.404655]\'','\'(0.042697-1.174961]\'','\'(-2.029347--1.043601]\'','\'(-1.013658--0.044087]\'','\'(-1.178424--0.155669]\'','\'(-1.220803--0.2136]\'','\'(-0.884957-0.043694]\'','\'(-1.018923-0.009457]\'','\'(-0.983749--0.02998]\'','\'(0.069417-1.021871]\'','\'(0.923613-1.830222]\'','\'(-1.136272--0.155971]\'','\'(0.886616-1.836813]\'','\'(0.043866-0.721294]\'','\'(-0.183676-0.441453]\'',No
'\'(-1.99282--0.834366]\'','\'(-0.547132-0.56726]\'','\'(0.016136-1.19211]\'','\'(0.238385-1.32152]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(-0.044087-0.925484]\'','\'(0.867086-1.889842]\'','\'(-1.220803--0.2136]\'','\'(-1.813607--0.884957]\'','\'(1.037837-2.066218]\'','\'(-0.983749--0.02998]\'','\'(0.069417-1.021871]\'','\'(0.923613-1.830222]\'','\'(-2.116572--1.136272]\'','\'(-0.063581-0.886616]\'','\'(1.398723-inf)\'','\'(0.441453-1.066581]\'',No
'\'(-0.834366-0.324088]\'','\'(-0.547132-0.56726]\'','\'(-1.159838-0.016136]\'','\'(1.32152-2.404655]\'','\'(1.174961-2.307226]\'','\'(-1.043601--0.057854]\'','\'(-1.983229--1.013658]\'','\'(-1.178424--0.155669]\'','\'(-1.220803--0.2136]\'','\'(0.043694-0.972345]\'','\'(0.009457-1.037837]\'','\'(-0.02998-0.92379]\'','\'(-inf--1.83549]\'','\'(-1.796216--0.889607]\'','\'(-2.116572--1.136272]\'','\'(0.886616-1.836813]\'','\'(-0.633562-0.043866]\'','\'(0.441453-1.066581]\'',No
'\'(-0.834366-0.324088]\'','\'(1.681652-inf)\'','\'(0.016136-1.19211]\'','\'(-0.84475-0.238385]\'','\'(1.174961-2.307226]\'','\'(-2.029347--1.043601]\'','\'(0.925484-1.895055]\'','\'(-1.178424--0.155669]\'','\'(-0.2136-0.793604]\'','\'(-0.884957-0.043694]\'','\'(0.009457-1.037837]\'','\'(-0.02998-0.92379]\'','\'(0.069417-1.021871]\'','\'(-inf--1.796216]\'','\'(-1.136272--0.155971]\'','\'(0.886616-1.836813]\'','\'(-0.633562-0.043866]\'','\'(-0.183676-0.441453]\'',No
'\'(-1.99282--0.834366]\'','\'(-1.661525--0.547132]\'','\'(-inf--2.335812]\'','\'(-1.927885--0.84475]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(-1.013658--0.044087]\'','\'(-0.155669-0.867086]\'','\'(-2.228006--1.220803]\'','\'(0.972345-1.900995]\'','\'(-2.047304--1.018923]\'','\'(-0.02998-0.92379]\'','\'(1.021871-1.974325]\'','\'(-0.889607-0.017003]\'','\'(-2.116572--1.136272]\'','\'(-1.963973--1.013777]\'','\'(-0.633562-0.043866]\'','\'(-inf--0.808804]\'',No
'\'(0.324088-1.482542]\'','\'(0.56726-1.681652]\'','\'(0.016136-1.19211]\'','\'(1.32152-2.404655]\'','\'(-1.089568-0.042697]\'','\'(-0.057854-0.927893]\'','\'(-0.044087-0.925484]\'','\'(-0.155669-0.867086]\'','\'(1.800807-inf)\'','\'(-0.884957-0.043694]\'','\'(2.066218-inf)\'','\'(-0.02998-0.92379]\'','\'(1.021871-1.974325]\'','\'(0.017003-0.923613]\'','\'(-2.116572--1.136272]\'','\'(0.886616-1.836813]\'','\'(0.721294-1.398723]\'','\'(1.066581-1.691709]\'',No
'\'(0.324088-1.482542]\'','\'(-2.775917--1.661525]\'','\'(0.016136-1.19211]\'','\'(0.238385-1.32152]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(-0.044087-0.925484]\'','\'(0.867086-1.889842]\'','\'(0.793604-1.800807]\'','\'(-0.884957-0.043694]\'','\'(-1.018923-0.009457]\'','\'(-1.937518--0.983749]\'','\'(-1.83549--0.883036]\'','\'(0.017003-0.923613]\'','\'(-0.155971-0.82433]\'','\'(-1.963973--1.013777]\'','\'(0.721294-1.398723]\'','\'(0.441453-1.066581]\'',No
'\'(0.324088-1.482542]\'','\'(-0.547132-0.56726]\'','\'(-inf--2.335812]\'','\'(-1.927885--0.84475]\'','\'(1.174961-2.307226]\'','\'(-1.043601--0.057854]\'','\'(-inf--1.983229]\'','\'(-2.20118--1.178424]\'','\'(-1.220803--0.2136]\'','\'(-0.884957-0.043694]\'','\'(-1.018923-0.009457]\'','\'(-0.02998-0.92379]\'','\'(0.069417-1.021871]\'','\'(0.923613-1.830222]\'','\'(-1.136272--0.155971]\'','\'(-0.063581-0.886616]\'','\'(0.721294-1.398723]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(-0.547132-0.56726]\'','\'(2.368084-inf)\'','\'(-0.84475-0.238385]\'','\'(1.174961-2.307226]\'','\'(-0.057854-0.927893]\'','\'(-1.013658--0.044087]\'','\'(-0.155669-0.867086]\'','\'(-1.220803--0.2136]\'','\'(0.043694-0.972345]\'','\'(-1.018923-0.009457]\'','\'(-0.983749--0.02998]\'','\'(-1.83549--0.883036]\'','\'(-0.889607-0.017003]\'','\'(-0.155971-0.82433]\'','\'(0.886616-1.836813]\'','\'(-0.633562-0.043866]\'','\'(-0.808804--0.183676]\'',No
'\'(0.324088-1.482542]\'','\'(-0.547132-0.56726]\'','\'(-2.335812--1.159838]\'','\'(-1.927885--0.84475]\'','\'(1.174961-2.307226]\'','\'(-2.029347--1.043601]\'','\'(-0.044087-0.925484]\'','\'(0.867086-1.889842]\'','\'(-0.2136-0.793604]\'','\'(-0.884957-0.043694]\'','\'(-1.018923-0.009457]\'','\'(1.877559-inf)\'','\'(0.069417-1.021871]\'','\'(-0.889607-0.017003]\'','\'(0.82433-1.80463]\'','\'(0.886616-1.836813]\'','\'(0.043866-0.721294]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(-1.661525--0.547132]\'','\'(0.016136-1.19211]\'','\'(-inf--1.927885]\'','\'(1.174961-2.307226]\'','\'(0.927893-1.913639]\'','\'(-1.013658--0.044087]\'','\'(-1.178424--0.155669]\'','\'(-2.228006--1.220803]\'','\'(-1.813607--0.884957]\'','\'(0.009457-1.037837]\'','\'(-0.983749--0.02998]\'','\'(-0.883036-0.069417]\'','\'(0.017003-0.923613]\'','\'(0.82433-1.80463]\'','\'(-0.063581-0.886616]\'','\'(-1.310991--0.633562]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(-0.547132-0.56726]\'','\'(0.016136-1.19211]\'','\'(-0.84475-0.238385]\'','\'(-1.089568-0.042697]\'','\'(-0.057854-0.927893]\'','\'(0.925484-1.895055]\'','\'(-2.20118--1.178424]\'','\'(0.793604-1.800807]\'','\'(-1.813607--0.884957]\'','\'(0.009457-1.037837]\'','\'(-0.983749--0.02998]\'','\'(0.069417-1.021871]\'','\'(1.830222-inf)\'','\'(-0.155971-0.82433]\'','\'(0.886616-1.836813]\'','\'(0.043866-0.721294]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(1.681652-inf)\'','\'(1.19211-2.368084]\'','\'(-0.84475-0.238385]\'','\'(1.174961-2.307226]\'','\'(-1.043601--0.057854]\'','\'(-0.044087-0.925484]\'','\'(-1.178424--0.155669]\'','\'(1.800807-inf)\'','\'(-0.884957-0.043694]\'','\'(1.037837-2.066218]\'','\'(-0.983749--0.02998]\'','\'(0.069417-1.021871]\'','\'(0.017003-0.923613]\'','\'(-1.136272--0.155971]\'','\'(-0.063581-0.886616]\'','\'(-0.633562-0.043866]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(0.56726-1.681652]\'','\'(0.016136-1.19211]\'','\'(0.238385-1.32152]\'','\'(0.042697-1.174961]\'','\'(-0.057854-0.927893]\'','\'(-1.983229--1.013658]\'','\'(-2.20118--1.178424]\'','\'(-0.2136-0.793604]\'','\'(1.900995-inf)\'','\'(-1.018923-0.009457]\'','\'(0.92379-1.877559]\'','\'(-1.83549--0.883036]\'','\'(0.017003-0.923613]\'','\'(-1.136272--0.155971]\'','\'(-1.013777--0.063581]\'','\'(0.043866-0.721294]\'','\'(0.441453-1.066581]\'',No
'\'(-1.99282--0.834366]\'','\'(-0.547132-0.56726]\'','\'(-1.159838-0.016136]\'','\'(0.238385-1.32152]\'','\'(-1.089568-0.042697]\'','\'(0.927893-1.913639]\'','\'(-0.044087-0.925484]\'','\'(0.867086-1.889842]\'','\'(-1.220803--0.2136]\'','\'(0.043694-0.972345]\'','\'(-1.018923-0.009457]\'','\'(-0.02998-0.92379]\'','\'(0.069417-1.021871]\'','\'(-1.796216--0.889607]\'','\'(-2.116572--1.136272]\'','\'(-1.013777--0.063581]\'','\'(0.721294-1.398723]\'','\'(-0.183676-0.441453]\'',No
'\'(-0.834366-0.324088]\'','\'(-0.547132-0.56726]\'','\'(0.016136-1.19211]\'','\'(-1.927885--0.84475]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(-1.013658--0.044087]\'','\'(1.889842-inf)\'','\'(-2.228006--1.220803]\'','\'(0.043694-0.972345]\'','\'(-1.018923-0.009457]\'','\'(0.92379-1.877559]\'','\'(1.021871-1.974325]\'','\'(0.923613-1.830222]\'','\'(-1.136272--0.155971]\'','\'(-0.063581-0.886616]\'','\'(-0.633562-0.043866]\'','\'(0.441453-1.066581]\'',No
'\'(-1.99282--0.834366]\'','\'(-0.547132-0.56726]\'','\'(-1.159838-0.016136]\'','\'(1.32152-2.404655]\'','\'(-1.089568-0.042697]\'','\'(-1.043601--0.057854]\'','\'(-1.983229--1.013658]\'','\'(0.867086-1.889842]\'','\'(-0.2136-0.793604]\'','\'(0.043694-0.972345]\'','\'(-1.018923-0.009457]\'','\'(-1.937518--0.983749]\'','\'(-1.83549--0.883036]\'','\'(-1.796216--0.889607]\'','\'(-1.136272--0.155971]\'','\'(-0.063581-0.886616]\'','\'(-0.633562-0.043866]\'','\'(-0.183676-0.441453]\'',No
'\'(-inf--1.99282]\'','\'(-0.547132-0.56726]\'','\'(-2.335812--1.159838]\'','\'(0.238385-1.32152]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(-1.983229--1.013658]\'','\'(-2.20118--1.178424]\'','\'(-1.220803--0.2136]\'','\'(-1.813607--0.884957]\'','\'(-2.047304--1.018923]\'','\'(-0.02998-0.92379]\'','\'(-0.883036-0.069417]\'','\'(0.017003-0.923613]\'','\'(-1.136272--0.155971]\'','\'(-1.013777--0.063581]\'','\'(0.043866-0.721294]\'','\'(-0.808804--0.183676]\'',No
'\'(0.324088-1.482542]\'','\'(-0.547132-0.56726]\'','\'(0.016136-1.19211]\'','\'(-1.927885--0.84475]\'','\'(-1.089568-0.042697]\'','\'(-0.057854-0.927893]\'','\'(-1.013658--0.044087]\'','\'(-0.155669-0.867086]\'','\'(-0.2136-0.793604]\'','\'(0.043694-0.972345]\'','\'(1.037837-2.066218]\'','\'(1.877559-inf)\'','\'(0.069417-1.021871]\'','\'(0.017003-0.923613]\'','\'(0.82433-1.80463]\'','\'(-inf--1.963973]\'','\'(-0.633562-0.043866]\'','\'(-0.808804--0.183676]\'',No
'\'(-0.834366-0.324088]\'','\'(-0.547132-0.56726]\'','\'(-2.335812--1.159838]\'','\'(-0.84475-0.238385]\'','\'(0.042697-1.174961]\'','\'(0.927893-1.913639]\'','\'(-0.044087-0.925484]\'','\'(0.867086-1.889842]\'','\'(-1.220803--0.2136]\'','\'(-0.884957-0.043694]\'','\'(-1.018923-0.009457]\'','\'(0.92379-1.877559]\'','\'(-0.883036-0.069417]\'','\'(0.017003-0.923613]\'','\'(-1.136272--0.155971]\'','\'(0.886616-1.836813]\'','\'(-0.633562-0.043866]\'','\'(-0.183676-0.441453]\'',No
'\'(-1.99282--0.834366]\'','\'(1.681652-inf)\'','\'(0.016136-1.19211]\'','\'(1.32152-2.404655]\'','\'(0.042697-1.174961]\'','\'(-0.057854-0.927893]\'','\'(-0.044087-0.925484]\'','\'(0.867086-1.889842]\'','\'(-1.220803--0.2136]\'','\'(-0.884957-0.043694]\'','\'(-1.018923-0.009457]\'','\'(-0.983749--0.02998]\'','\'(-1.83549--0.883036]\'','\'(0.923613-1.830222]\'','\'(-1.136272--0.155971]\'','\'(-1.963973--1.013777]\'','\'(0.043866-0.721294]\'','\'(-inf--0.808804]\'',No
'\'(0.324088-1.482542]\'','\'(1.681652-inf)\'','\'(0.016136-1.19211]\'','\'(0.238385-1.32152]\'','\'(0.042697-1.174961]\'','\'(-1.043601--0.057854]\'','\'(-1.013658--0.044087]\'','\'(-2.20118--1.178424]\'','\'(0.793604-1.800807]\'','\'(-inf--1.813607]\'','\'(-2.047304--1.018923]\'','\'(-0.983749--0.02998]\'','\'(-0.883036-0.069417]\'','\'(-0.889607-0.017003]\'','\'(-1.136272--0.155971]\'','\'(-0.063581-0.886616]\'','\'(-1.310991--0.633562]\'','\'(-0.808804--0.183676]\'',No
'\'(0.324088-1.482542]\'','\'(0.56726-1.681652]\'','\'(-1.159838-0.016136]\'','\'(0.238385-1.32152]\'','\'(0.042697-1.174961]\'','\'(-0.057854-0.927893]\'','\'(-1.013658--0.044087]\'','\'(-1.178424--0.155669]\'','\'(-1.220803--0.2136]\'','\'(0.043694-0.972345]\'','\'(-1.018923-0.009457]\'','\'(1.877559-inf)\'','\'(-inf--1.83549]\'','\'(0.017003-0.923613]\'','\'(-0.155971-0.82433]\'','\'(-0.063581-0.886616]\'','\'(0.043866-0.721294]\'','\'(-0.183676-0.441453]\'',No
'\'(0.324088-1.482542]\'','\'(-0.547132-0.56726]\'','\'(-2.335812--1.159838]\'','\'(-1.927885--0.84475]\'','\'(-1.089568-0.042697]\'','\'(-2.029347--1.043601]\'','\'(-1.013658--0.044087]\'','\'(-0.155669-0.867086]\'','\'(-1.220803--0.2136]\'','\'(0.043694-0.972345]\'','\'(0.009457-1.037837]\'','\'(0.92379-1.877559]\'','\'(1.021871-1.974325]\'','\'(-1.796216--0.889607]\'','\'(-0.155971-0.82433]\'','\'(0.886616-1.836813]\'','\'(-0.633562-0.043866]\'','\'(-inf--0.808804]\'',No
